Affine/Q4
VSG [pixels];Selected Point Strain component: Eyy
121;0.133121892809868
123;0.117128275334835
123;0.118667647242546
125;0.11683040112257
125;0.118218578398228
127;0.116516999900341
127;0.118114076554775
129;0.116280622780323
129;0.118269696831703
131;0.116430893540382
131;0.118564523756504
133;0.116442240774632
135;0.116446487605572
137;0.116473525762558
139;0.11658962816
141;0.103093460202217
141;0.116655468940735
143;0.103107698261738
145;0.102969393134117
147;0.10276173055172
149;0.102578170597553
151;0.102616958320141
151;0.0992044433951378
153;0.102608628571033
153;0.0989479348063469
155;0.102617502212524
155;0.0987827330827713
157;0.10268684476614
157;0.0987979471683502
159;0.102793723344803
159;0.0990132167935371
161;0.10287469625473
161;0.0992503464221954
181;0.0841306522488594
183;0.0840120539069176
185;0.0839379206299782
187;0.0839750170707703
189;0.0841418653726578
191;0.0842950344085693
211;0.0727869048714638
213;0.0727205872535706
215;0.0726852715015411
217;0.0727191939949989
219;0.0728291124105453
221;0.0729209184646606
